Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
Did Not Chart	2	1	0	2	0	3	0	0	1	1	0	0	1	0	1	2	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	6	1	2	0	2	1	0	1	0	0	0	0	1	1	0	2	0	1	1	0	0	0	0	0	1	20	2	1	2	0	0	0	0	1	0	0	0	1	0	11	0	0	0	0	2	2	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	1	1	1	2	0	2	0	1	1	1	0	2	0	0	2	1	5	0	1	4	2	1	0	0	1	0	0	1	7	0	0	1	2	0	0	0	3	0	0	0	1	0	2	0	1	1	1	0	1	0	1	1	0	0	0	0	0	3	0	3	3	0	2	2	0	1	0	1	1	0	0	0	2	1	3	2	2	0	0	3	4	0	3	0	1	0	1	2	0	3	1	0	3	0	0	0	0	0	0	0	1	0	0	1	2	2	1	3	2	0	0	0	0	0	1	8	7	0	2	1	0	0	0	3	0	1	1	2	0	2	5	0	0	3	2	3	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	5	0	7	3	1	0	1	2	0	0	0	1	0	1	0	6	1	0	0	1	0	0	0	2	1	0	2	2	2	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	6	0	0	0	0	3	0	3	1	0	1	2	3	4	0	0	0	0	0	1	1	0	0	0	0	7	5	6	0	1	0	1	0	0	0	1	0	3	1	1	1	1	2	2	1	2	3	0	1	0	3	0	3	0	0	0	0	4	0	0	0	2	2	2	8	0	1	1	0	1	0	0	3	3	0	3	0	3	0	0	0	0	2	2	1	0	4	0	2	0	5	0	0	0	2	0	0	0	1	2	0	0	1	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	2	2	0	3	0	2	2	0	0	1	0	1	0	1	3	2	3	1	0	2	0	0	1	1	2	0	4	2	1	0	1	0	1	0	1	1	2	0	0	4	4	1	1	0	0	4	3	1	1	2	3	3	0	4	0	3	0	2
How to be an artist and still pass for normal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adrianoblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
funky little demons	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	0	1	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0
The Power of Independent Trucking	1	0	2	2	0	0	2	0	3	1	0	0	5	0	0	0	0	0	1	0	0	0	0	2	2	0	2	9	0	1	2	14	0	0	1	5	2	0	3	0	0	2	1	2	4	0	5	1	3	0	0	2	0	0	0	1	0	3	0	5	1	1	0	0	1	1	4	1	0	0	1	0	3	0	0	14	9	1	0	6	0	1	1	4	1	0	0	6	0	1	1	0	1	0	0	2	1	8	0	1	1	3	0	0	3	4	0	0	0	0	7	1	2	0	0	0	3	0	0	2	0	3	8	0	5	1	2	1	1	0	0	0	5	1	0	0	0	2	3	1	0	2	1	0	3	5	0	0	1	0	0	2	3	0	0	3	1	0	1	0	0	1	0	4	2	1	2	1	0	1	1	2	0	1	2	3	1	0	1	1	0	1	2	0	0	4	10	1	0	2	2	0	0	1	0	1	2	0	2	0	4	0	1	1	3	2	1	4	4	0	0	2	4	3	4	0	1	0	5	3	1	2	1	0	1	0	4	3	1	6	0	1	5	0	0	3	0	6	2	0	0	0	0	2	0	1	2	8	12	1	2	1	0	0	0	1	2	0	3	0	2	0	0	1	0	2	1	3	0	0	3	1	13	1	0	0	0	0	0	0	0	0	0	12	6	3	5	0	0	0	1	2	0	2	7	0	11	2	0	0	0	1	0	0	0	4	1	0	0	1	0	0	1	1	10	0	0	0	5	0	0	15	5	0	0	4	0	0	0	0	0	0	0	2	0	0	4	0	0	7	8	5	1	3	1	3	1	0	0	0	0	0	4	0	0	1	1	0	0	1	4	0	0	1	2	1	0	3	17	1	4	2	0	1	2	1	2	1	5	2	0	0	0	0	0	0	1	9	2	12	0	24	0	2	0	0	0	0	2	0	9	6	1	1	1	1	1	0	1	1	0	0	0	1	2	3	3	4	0	0	2	1	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	3	0	1	3	0	0	1	3	8	2	2	0	0	3	1	6	1	0	4	0	9	1	1	0	3	0	0	0	6	4	0	15	0	2	0	1	1	0	0	3	0	0	2	0	0	7	18	3	0	1	14	1	0	0	5	0	1	0	5	0	2	2	2
Stonehill Sketchbook	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
forget about it	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	2	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	3	3	0	0	0	1	0	0
For the Other Things	2	0	2	0	6	1	0	0	0	1	4	2	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	12	0	0	0	1	0	0	0	3	0	4	2	3	6	0	1	0	4	1	0	5	4	2	0	3	0	2	1	1	0	0	0	2	2	1	1	1	0	0	0	0	6	1	0	0	1	6	4	1	0	0	0	0	0	0	4	0	0	0	1	0	2	0	1	3	0	0	0	1	0	1	1	0	1	0	0	2	1	0	0	0	1	0	1	1	3	0	0	3	0	4	1	1	7	1	0	0	0	0	3	0	4	0	1	0	0	1	1	2	0	1	0	0	0	2	0	2	0	0	1	1	1	0	0	2	0	0	1	1	0	1	0	0	5	1	3	2	0	2	3	0	2	2	0	2	2	0	4	1	0	0	0	2	0	2	6	1	0	1	0	0	1	5	1	0	0	2	0	2	0	0	0	3	0	2	0	1	4	3	0	0	1	3	1	0	0	0	0	9	1	2	2	1	0	0	3	1	1	4	0	2	0	5	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	1	1	0	3	1	0	0	0	0	0	2	1	0	3	0	4	0	0	0	0	1	0	0	2	0	1	1	0	2	0	0	0	0	1	2	1	0	0	5	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	1	12	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	6	1	1	0	1	1	0	0	2	0	0	0	4	0	1	0	1	0	0	0	0	4	0	4	3	0	1	2	0	7	0	0	1	0	1	2	0	1	0	0	3	1	3	3	0	3	2	2	0	2	4	1	0	0	0	0	2	5	1	0	0	0	4	0	0	1	0	1	6	4	1	5	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	2	0	0	1	2	2	0	0	2	0	0	5	0	2	3	4	1	10	1	0	0	0	1	4	2	0	0	0	2	0	4	0	0	7	0	4	1	0	1	1	0	6	3	2	3	1	0	1	3	1	0	1	1	0	1	0	5	0	0	0	6	0	3	0	4	5	1	1	0	1	1	3	0	0	1	8	6	1
DaveCromwell Writes	3	4	2	2	0	5	8	17	1	5	16	0	27	4	8	4	12	44	2	5	0	15	7	2	5	10	8	11	9	10	2	12	4	2	2	9	7	4	1	5	9	0	3	1	8	0	58	7	31	4	1	4	4	10	10	27	3	22	2	8	23	18	8	10	34	5	16	2	4	24	19	17	2	1	3	6	22	8	11	0	1	4	3	12	26	19	2	2	9	19	16	3	7	7	2	9	22	3	6	2	3	5	2	3	4	1	4	11	1	6	83	1	8	6	6	2	12	12	1	13	6	3	55	13	35	6	15	28	3	0	6	3	7	2	5	1	1	4	3	3	4	4	9	0	18	2	7	2	5	3	3	5	10	10	4	30	5	1	3	5	7	7	13	8	6	0	6	3	9	4	0	2	4	4	2	24	15	0	12	12	17	2	2	2	3	8	26	0	6	2	0	32	4	6	4	2	0	4	3	11	6	2	1	19	3	10	8	39	5	0	2	23	16	4	2	32	2	1	5	24	4	5	8	2	5	11	21	5	8	27	2	3	4	3	0	12	3	18	0	11	4	1	5	3	8	3	2	22	4	11	2	14	3	3	6	24	0	12	11	3	6	5	0	14	28	0	14	7	7	4	17	9	131	2	6	15	10	1	8	8	1	12	6	14	2	7	5	1	1	6	24	3	3	45	14	8	11	19	1	16	3	8	4	6	8	12	6	3	3	10	9	1	0	1	37	3	0	9	6	1	11	1	4	12	7	6	4	10	2	2	0	5	0	7	1	0	16	1	3	7	36	38	4	14	1	2	1	2	9	4	17	2	11	4	4	20	4	3	2	3	3	1	1	3	13	12	6	3	18	10	2	5	2	7	12	5	17	3	6	0	4	0	32	4	5	8	42	41	2	15	10	61	4	17	1	29	5	5	18	17	14	5	25	2	1	7	6	1	9	7	6	1	19	7	2	21	14	3	1	11	56	1	6	8	0	8	2	6	4	5	4	0	22	21	6	5	1	5	3	15	1	14	11	2	1	5	2	9	13	0	0	29	18	38	0	5	0	15	2	1	8	28	5	1	13	13	15	1	32	0	19	2	4	10	1	3	5	2	1	10	2	4	19	69	0	2	14	25	21	4	18	4	1	14	3	15	6	12	3	4
T H E V O I D S	0	0	6	0	0	3	1	0	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	6	2	0	0	0	1	0	0	5	0	1	0	0	0	0	0	1	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	2	0	0	3	1	1	0	0	0	0	3	0	0	1	0	10	2	1	0	0	0	8	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	5	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	1	0	2	0	12	0	0	0	2	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	13	0	0	4	1	1	3	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	1	0	0	2	0	2	1	0	0	15	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	2	1	0	0	0	0	1	0	0	1	3	0	0	0	1	0	1	1	0	82	0	1	1	0	2	0	1	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	5	0	10	0	2	1	0	2	0	0	0	0	0	0	0	6	0	0	2	0	16	0	0	5	0	0	0	14	0	2	7	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	9	1	20	3	0	0	0	48	0	0	0	0
Head Space Daily	3	0	2	0	2	0	0	0	0	1	7	0	0	4	0	0	0	0	0	0	0	0	2	9	3	0	1	3	0	2	0	0	0	0	2	0	0	0	0	0	2	18	0	2	5	0	5	4	0	3	0	0	2	0	0	6	1	8	0	3	0	1	0	0	0	0	4	0	0	0	0	7	27	0	1	0	1	6	1	0	0	0	0	2	0	1	0	0	0	0	8	1	0	1	1	0	13	1	3	0	1	2	2	0	1	2	2	0	2	0	0	2	1	0	0	2	3	0	0	0	0	0	4	0	3	2	3	0	0	1	2	4	4	0	0	0	0	0	2	0	0	2	0	2	0	15	0	1	0	0	0	1	0	4	0	3	3	0	3	2	0	1	0	0	4	0	3	0	4	3	0	0	3	0	7	0	4	2	0	2	0	2	1	0	0	9	7	0	0	1	0	0	6	0	0	7	5	0	0	2	0	0	5	0	0	0	2	3	5	0	4	3	4	2	3	2	0	0	2	2	3	1	7	0	2	0	4	0	0	2	0	0	1	2	1	0	2	3	0	2	0	0	2	0	0	0	4	5	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	2	2	0	0	0	5	4	0	0	2	2	2	0	0	0	0	5	2	0	4	2	0	2	2	6	0	2	0	4	2	0	2	0	0	1	0	0	0	0	0	7	0	0	0	0	6	0	0	4	0	1	6	0	5	1	3	0	0	0	3	0	0	0	0	0	1	1	3	0	0	0	0	3	1	21	4	1	19	0	0	3	0	0	0	6	1	3	0	7	1	0	4	3	3	4	0	4	0	0	7	3	0	3	0	3	4	4	0	2	0	3	1	2	0	0	0	11	0	0	0	1	3	0	1	0	8	0	0	2	0	3	4	4	3	0	13	2	0	1	0	0	6	0	0	0	0	8	4	0	0	0	0	2	1	2	1	4	0	0	1	10	0	2	0	1	0	0	12	2	3	0	18	2	4	0	0	1	2	0	1	1	2	3	2	20	0	29	1	0	27	0	0	0	2	0	1	0	1	1	2	0	0	4	1	2	2	3	1	2	5	0	2	2	3	0	0	6	3	0	0	0	0	3	4	0	0	6	1	3	3	0	6	4	1
Chantelle Swain A2 Media Studies	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	16	0	8	46	1	9	0	2	0	0	0	0	0	1	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	38	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	2	0	0	0	13	0	0	0	0
